Job Title,Description,District,Work Mode
Backend Java - Sector bancario,"En Experis Perú buscamos al mejor talento para sumarse a los desafíos de la era digital y llevar su carrera a un siguiente nivel. Por ello, te invitamos a que formes parte del reto como BACKEND JAVA en el rubro Bancario:
BACKEND JAVA
Requisitos para postular al cargo:
Profesional de las carreras de Ingeniería de sistemas, informática o afines.
Experiencia mayor a 5 años en Java y Spring Boot
Experiencia mayor a 4 años en Oracle, MySQL y PostgreSQL
Experiencia en programación reactiva
Experiencia en SOLID
Funciones principales del puesto:
Implementa y mantiene la funcionalidad del servidor que da soporte a la aplicación.
Crea y administra bases de datos para almacenar y gestionar la información de manera eficiente.
Desarrolla y mantiene APIs (interfaces de programación de aplicaciones) para permitir la comunicación entre el frontend (lo que el usuario ve) y el backend (el servidor).
Implementa sistemas de autenticación, autorización y protección para salvaguardar los datos y los servidores.
Trabaja para mejorar el rendimiento de la aplicación y asegurar que pueda soportar un gran número de usuarios o transacciones.
La empresa ofrece al candidato seleccionado
Únete a una empresa líder a nivel global
Planilla Completa",Lima,Híbrido
Desarrollador Fullstack (Java/Js) - Remoto,"Protiviti Perú se encuentra en la búsqueda de un Desarrollador Fullstack especializado en microservicios para un cliente del sector retail farmacéutico.
Responsabilidades clave:
Desarrollar aplicaciones basadas en microservicios utilizando Java (Hibernate y Spring Boot) y Angular.
Implementar soluciones siguiendo arquitectura hexagonal para garantizar modularidad y mantenibilidad.
Diseñar, desarrollar y consumir APIs RESTful/APIs REST JSON para integrar los microservicios.
Trabajar con bases de datos Oracle, MySQL y SQL, optimizando consultas y rendimiento.
Colaborar con equipos de QA y DevOps para automatizar pruebas, despliegues y monitoreo de aplicaciones.
Realizar revisiones de código y asegurar la calidad y eficiencia de los servicios.
Documentar componentes y servicios desarrollados.
Requisitos:
3+ años de experiencia como desarrollador Fullstack en entornos de microservicios.
Conocimiento en arquitectura hexagonal y buenas prácticas de diseño de software.
Experiencia con bases de datos Oracle, MySQL y SQL.
Experiencia en APIs RESTful/APIs REST JSON y gestión de microservicios.
Experiencia en Azure Devops, Google Cloud Platform.",Lima,Remoto
Programador Python Junior,"CSTI Corp es una empresa peruana líder en la industria TI con más de 17 años en el mercado en países como Perú, Ecuador, Colombia, Costa Rica y Estados Unidos.
Ofrecemos soluciones de negocios en las líneas de Outsourcing, Licenciamientos SAP y Microsoft, soporte y mejora de aplicaciones, así como implementación y migración de sistemas bajo estrategias Cloud, aprovechando su alianza con marcas como Amazon, Azure, Huawei Cloud y Google Cloud.
Estamos en busqueda de un Programador Python
📌Requisitos:
✅ Experiencia de 2 años programando con python
✅ Experiencia en base de datos: MySQL, SQL Server
🌴Modalidad de trabajo: Híbrido 3 dias presenciales y 2 remoto en San Isidro
🌴Horario de Lunes a Viernes.
🌴Te brindamos tus equipos corporativos.",Lima,Híbrido
Analista Programador Full Stack,"En UTEC - Universidad de Ingeniería y Tecnología nos encontramos en búsqueda de un Analista Programador Full Stack
¿Cuáles serán tus retos?
Trabajar en conjunto con equipos multidisciplinarios para garantizar la coherencia tecnológica y funcional de los proyectos.
Análisis y diseño de soluciones
Mantenimiento a aplicaciones inhouse
Creación y mantenimiento de modelo de datos
Pruebas unitarias y funcionales
¿Qué buscamos?
Experiencia en desarrollo con Java (Spring Boot), React y/o Angular.
Conocimiento en Arquitecturas de integración.
Experiencia en interacción con algún CRM y/o ERP (implementación, integración, soporte o personalización).
Manejo de bases de datos relacionales (Oracle, MySQL, PostgreSQL, etc.).
Conocimientos en metodologías ágiles (Scrum, Kanban).
Experiencia trabajando bajo ambientes DevOps.
Experiencia en el uso de Docker.
Dominio de herramientas de versionamiento
Conocimiento inglés a nivel intermedio
Manejo de Office a nivel avanzado
Deseable (no indispensable): Experiencia específica en Zoho Suite (CRM, Desk, Campaign, Survey, Creator, Contract) y Oracle Fusion ERP.
Deseable (no indispensable): Desarrollo y mantenimiento de sitios en Drupal
Capacidad de análisis para la resolución de problemas complejos, aprendizaje rápido y disposición para adoptar nuevas tecnologías, alta adaptabilidad a distintos entornos y herramientas, compromiso y responsabilidad en la ejecución de proyectos, capacidad para trabajar bajo presión y con prioridades múltiples, orientación a resultados con enfoque en impacto institucional, así como comunicación efectiva con usuarios y equipos técnicos.
¿Qué te ofrecemos?
Salario acorde al mercado.
EPS y Seguro oncológico cubierto al 100%
Plataforma de capacitación personalizada.
Descuentos en más de 200 establecimientos.
Oportunidad de aprender e involucrarte en distintos proyectos de UTEC.
Si quieres conocernos mejor:
Visita nuestra web: https://utec.edu.pe/
Síguenos en LinkedIn: https://www.linkedin.com/school/utec-universidad-de-ingenieria-y-tecnologia/mycompany/
Si crees que este es tu rol y que las responsabilidades descritas son lo que estás buscando, ¡inscríbete en la vacante!
¡Tenemos ganas de conocerte!",Barranco,Remoto
,,San Borja,Presencial
Analista Programador Visual Basic .Net,"Analista Programador Visual Basic .Net Resumen del Puesto
Estamos buscando un Analista Programador Visual Basic .Net con experiencia en desarrollo y mantenimiento de aplicaciones en Visual Basic .Net. El candidato ideal tendrá la oportunidad de participar en proyectos desafiantes dentro de un entorno dinámico.
Responsabilidades
Desarrollo y mantenimiento de aplicaciones en Visual Basic .Net.
Participación en el diseño y la implementación de soluciones de software.
Colaboración con otros miembros del equipo para garantizar la calidad del código.
Optimización de código y resolución de incidencias.
Requisitos
Experiencia en desarrollo y mantenimiento de aplicaciones en Visual Basic .Net.
Manejo de C#.
Experiencia en Stored Procedures en SQL.
Experiencia en procesos de ETL utilizando SQL Server y SSIS.
Conocimiento en bases de datos (SQL Server, MySQL, Oracle).
Conocimiento de control de versiones (GitHub, TFS).
Conocimiento de frameworks .NET.",Barranco,Presencial
Desarrollador Fullstack SemiSenior(Java/Angular),"CSTI Corp es una empresa peruana líder en la industria TI con más de 17 años en el mercado en países como Perú, Ecuador, Colombia, Costa Rica y Estados Unidos.
Ofrecemos soluciones de negocios en las líneas de Outsourcing, Licenciamientos SAP y Microsoft, soporte y mejora de aplicaciones, así como implementación y migración de sistemas bajo estrategias Cloud, aprovechando su alianza con marcas como Amazon, Azure, Huawei Cloud y Google Cloud.
Nos encontramos en la búsqueda de un ""Fullstack Semi Senior”, para nuestra línea de negocio.
📌Requisitos:
Experiencia mínima de 3 años en desarrollo de aplicaciones, plataformas o servicios en la capa frontend como en la capa backend.
Experiencia en desarrollo de parte de Frontend con Angular.
Experiencia en desarrollo de parte de Backend con Java y Sprinboot.
Conocimientos en Microservicios, BD Oracle, BD SQL y Api Rest.

🌴Modalidad Presencial en Lima - Los Olivos.
🌴Horario de Lunes a viernes.
🌴Pago acorde al mercado.",Lima,Presencial
,"¡Sé parte de Stefanini!
En Stefanini somos más de 30.000 genios, conectados desde 41 países, haciendo lo que les apasiona y co-creando un futuro mejor.
Responsabilidades y atribuciones:
Objetivo del rol:
Incorporar un profesional con experiencia en integración de servicios y APIs en entornos Cloud, para apoyar proyectos de modernización, despliegue de aplicaciones y gobierno de APIs.
Responsabilidades principales
Diseñar, exponer y consumir APIs seguras y escalables.
Implementar soluciones de integración en entornos cloud y on-premise.
Administrar el ciclo de vida de APIs usando API Management y API Connect.
Configurar y optimizar clusters en AKS para despliegue de servicios.
Mantener y evolucionar integraciones en Oracle Service Bus.
Colaborar con equipos de desarrollo, arquitectura y operaciones para garantizar calidad y disponibilidad de los servicios.
Requisitos y competencias:
Conocimientos sólidos en Cloud (preferible Azure o plataformas equivalentes).
Diseño, desarrollo y administración de APIs.
API Management (Azure) y API Connect (IBM).
Experiencia con AKS – Azure Kubernetes Service.
Experiencia con Oracle Service Bus y prácticas de integración/middleware.
Deseable experiencia con microservicios y despliegue en contenedores.",Lima,Remoto
Desarrollador full stack .Net,"Buscamos un(a) Desarrollador(a) Full-Stack con experiencia en tecnologías modernas de desarrollo Front-End y Back-End. La persona ideal será capaz de analizar requerimientos, estimar esfuerzos, desarrollar soluciones escalables y mantener sistemas robustos en arquitecturas de microservicios y APIs Restful.
Ubicación:Lima
Modalidad: Tiempo completo
🔹 Requisitos:
4 años de experiencia como programador o desarrollador de software.
Dominio avanzado de: .Net
Nivel intermedio en: Java GitLab Docker
Nivel intermedio/avanzado en PostgreSQL.
🔹 Responsabilidades:
Diseñar, desarrollar y optimizar aplicaciones de alto rendimiento.
Colaborar con equipos multidisciplinarios para la integración de sistemas.
Mantener buenas prácticas de programación, control de versiones y documentación.
Proponer mejoras técnicas y funcionales para proyectos en curso.
📩 Si cumples con el perfil, postula por este medio",Lima,Presencial
ANALISTA PROGRAMADOR DE TI,"Propósito: · Responsable del desarrollo y documentación de las nuevas implementaciones, mejoras y reportes en los sistemas de información de SOP, incluye interfases de comunicación, bases de datos e infraestructura, basadas en arquitecturas.Net (C#), X++, etc. (en entornos Windows /Web), JavaScript, de preferencia con conocimiento de reportes en PowerBI, conocimientos de PowerAPPs y su integración con base de datos MS-SQL, conexiones AZURE e integración con herramientas de Office 365. (Net Core 8, manejo a nivel intermedio de Azure – active directory, publicación de servicios web y devops.
Educación:
Profesional Técnico o Universitario en sistemas o carreras afines.
Experiencia profesional mínima de 3 años.
Habilidades Técnicas y Competencias:
Manejo de Programas de Office a nivel avanzado
Certificación/Cursos Microsoft en desarrollo de sistemas y base de datos SQL. (deseable)
Organización
Comunicación efectiva
Conocimiento de ingles básico (hablado y escrito)
Sede:
San Isidro.",San Isidro,Presencial
Desarrollador Backend,"Actualmente nos encontramos en búsqueda de 01 Desarrollado Backend para que se integre a nuestro equipo.
Profesional en Ingeniería de Sistemas, Computación, Informática o carreras afines.
Experiencia mínima de 4 a 5 años en desarrollo con Python, Node.js .Net
Lenguajes: Python (3.x) , JavaScript/TypeScript (Node.js LTS) y C# .Net
Frameworks: FastAPI o Flask; Express/NestJS.
AWS: S3, Lambda, API Gateway/ALB, Step Functions o EventBridge, CloudWatch, IAM; deseable ECS/Fargate o AWS Batch.
Datos: Formato Parquet (particionamiento, compresión), DynamoDB (modelado single-table, GSIs, TTL), MongoDB (pipelines de agregación, índices compuestos), Elasticsearch (index templates, mappings, queries, bulk ingestion).
Mensajería/eventos: SQS/SNS o Kafka (básico).
Testing & calidad: PyTest/Jest, linters (ruff/flake8, eslint), typing (mypy/TS), pruebas de contrato.
Arquitectura: Microservicios y datos.
SQL modelado de datos pragmático.
Cachés (Redis), websockets, y GraphQL
Incorporación a planilla con todos los beneficios de ley
Capacitaciones generales y específicas de acuerdo a tu especialidad
Actividades de integración y Wellness Programs
Descuentos corporativos en diversos establecimientos
Condiciones
Modalidad remoto (con alguna espontánea asistencia de 1 o 2 veces al mes a oficinas directas del cliente)
Contrato inicial de 06 meses, renovables
Conoce más de nosotros en www.inetum.com/es o visita nuestras redes sociales como Inetum Perú para conocer más de nuestra cultura corporativa y metodologías de trabajo. ¡Te esperamos!
En Inetum promovemos la diversidad de género, origen étnico, nacionalidad, la inclusión de personas con discapacidad y/o habilidades diferentes mediante la igualdad de oportunidades en todos los procesos, y buscamos ampliar las oportunidades de desarrollo profesional.",El Agustino,Presencial
Desarrollador FrontEnd Senior,"Somos Canvia, formamos parte del portafolio de Advent International y contamos con 34 años de presencia en el mercado local. Nuestro propósito es hacer más fácil la vida de las personas, innovando e implementando proyectos de transformación digital de nuestros clientes de manera ágil y segura.
¡Reinventa el futuro con Canvia!
Si sientes pasión por la tecnología y quieres transformar negocios, esta es tu oportunidad para desarrollarte en una empresa inclusiva, diversa, que se desafía constantemente.
Nuestro propósito es hacer más fácil la vida de las personas, innovando e implementando proyectos de transformación digital con un metodología ágil y segura.
Como Analista Programador ANGULAR tendrás la misión de:
Desarrollar la interfaz de usuario en Angular con Microfrontends.
Integrar con Azure API Management y asegurar la correcta comunicación con el backend.
Garantizar accesibilidad y compatibilidad en múltiples dispositivos.
* REQUISITOS:
Bachiller en la carrera de Ingeniería de sistemas, Ingeniería informática, Ingeniería electrónica, Ingeniería industrial o carreras afines.
Experiencia no menor de 4 años como Analista programador o Analista de aplicaciones o similares.
Manejo indispensable de ANGULAR, React, Vue,js, Jquery, TypeScripT, JScript.
* BENEFICIOS:
Te ofrecemos:
Foco en tu desarrollo y línea de crecimiento a través de Canvia College, donde podrás potenciar tus conocimientos con cursos tendencia en tecnología y de gestión.
La importancia de tu bienestar, por ejemplo, el que tengas tiempo libre el día de tu cumpleaños para que lo disfrutes con las personas que más quieres.
Modalidad híbrida de trabajo, trabajo desde casa en la mayoría de nuestras posiciones.
Ingresarás a planilla desde el primer día.
Porque la salud es muy importante, te coberturamos un porcentaje de la EPS
Tendrás una tarjeta de alimentación.
En esta empresa está prohibida la discriminación - Ley N° 29973",Lima,Híbrido
Analista de Programación,"Somos una Entidad Financiera, con un portafolio de diversos productos; por lo que requerimos incorporar en nuestra planilla Analista de Programación:
REQUISITOS:
Desarrollo de aplicaciones móviles con tecnología Swift (iOS), UIKit.
Conocimientos de UI/UX: Capacidad para diseñar interfaces atractivas y fáciles de usar con figma.
Manejo de errores, consumo de componentes de integración APIs.
Conocimientos en implementación de backend con .Net (Deseable)
Conocimientos en consultas a base de datos SQL Server.
Conocimientos en arquitectura y patrones de diseño.
Conocimientos de Scrum. Buenas prácticas de programación.
FUNCIONES
Responsable del análisis, diseño, construcción de nuevos aplicativos y/o mantenimiento a aplicativos ya existentes.
Desarrollar documentación técnica de los programas desarrollados
Realizar pruebas unitarias de los programas desarrollados, a fin de eliminar los errores que puedan generarse.
Capacidad de análisis y coordinación con usuarios.
BENEFICIOS
Remuneración acorde al mercado
Plan de salud cubierto al 80% (EPS).
Buen clima laboral
Goce de convenios corporativos exclusivos para los colaboradores y sus familias; contamos con convenios educativos, recreativos, salud y mucho más; los cuales están al alcance de todos nuestros colaboradores.",San Isidro,Presencial
Desarrollador de Sistemas,"En Intelitech Perú, buscamos profesionales apasionados por la tecnología, con experiencia en desarrollo de software y ganas de trabajar en proyectos desafiantes.
✅ Requisitos principales:
📌 Experiencia de 3 a 5 añosen: Desarrollo de aplicaciones o Programación de software o Soluciones de software o Implementación de proyectos TI.
📌 Formación:
Bachiller o Título Técnico en: Ingeniería de Sistemas y/o Software y/o Computación e Informática.
📌 Capacitación:
En alguno de los siguientes cursos (no indispensable):
-Metodologías Ágiles y/o Scrum
-Java
-Spring Framework
-Angular
📍 Modalidad: Híbrida
💼 Forma parte de una empresa experta en TI y lleva tu carrera al siguiente nivel.",Lima,Presencial
Desarrollador Genexus - Remoto,"SOFTWARE ENTERPRISE SERVICES
Somos una empresa peruana de Tecnologías de la Información y Comunicaciones, que cuenta con amplia experiencia en la prestación de servicios informáticos mediante Outsourcing TI y Fábrica de Software, para clientes nacionales e internacionales, asegurando la calidad de servicio con sólidos procesos estandarizados en un sistema integrado de gestión. Nos encontramos en la búsqueda del mejor talento para ocupar la siguiente posición:
DESARROLLADOR GENEXUS
Requisitos:
Universitario Egresado, Titulado, Bachiller o Técnico Egresado, Titulado
Carreras de Ingeniería de Sistemas, de Software, Informática, Computación o afines
Experiencia de 3 a 5 años mínimo de experiencia Genexus , Bantotal y SQL
Herramientas no técnicas:
Trabajo en equipo
Comunicación Eficaz",Cercado De Lima,Híbrido
Programador BMS,"More digital. More human. More Minsait.
Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible.
Buscamos Programador BMS con ganas de trabajar en nuestros equipos multidisciplinares.
¿Qué esperamos por tu parte?
Experiencia mínima de 2 años en sistemas SCADA y/o BMS para control y monitorización de sistemas electromecánicos.
Conocimientos en redes IP y experiencia en sistemas electromecánicos.
Experiencia como programador/desarrollador en alguna de estas herramientas de Schneider Electric: PME (Power Monitoring Expert) PSO (Power SCADA Operation) EBO (EcoStruxure Building Operation)
Deseable:
Programación en otros SCADA/BMS.
Experiencia con redes TCP/IP.
Funciones:
Programación y desarrollo de sistemas SCADA/BMS.
Control y monitoreo de sistemas electromecánicos.
Colaboración con ingenieros y técnicos en sala de control.
Participación en proyectos de automatización de edificios e infraestructura eléctrica.
Modalidad de Trabajo:
100 % Presencial en Lima, Perú.",Lima,Presencial
TÉCNICO DESARROLLADOR DE SISTEMAS,"Entidad pública se encuentra en la búsqueda de UN(1) TÉCNICO DESARROLLADOR DE SISTEMAS que cumpla con el siguiente perfil:
El puesto tiene como misión desarrollar, implementar y mantener los programas informáticos requeridos, de acuerdo a los estándares establecidos para el desarrollo de programas, con la finalidad de atender los requerimientos de las áreas de la entidad.
Requisitos:
Egresado de carrera técnica superior completa (3 o 4 años) o egresado universitario en computación e informática, administración de redes y comunicaciones o carreras afines al cargo.
Conocimiento técnico de herramientas de modelamiento, metodología para el desarrollo de software (ágiles o tradicionales), desarrollo de aplicaciones web (.NET, java, JavaScript, HTML, PHP) y móviles, manejadores de base de datos (Oracle y SQL server) y sintaxis SQL (procedimientos, funciones, vistas, vistas materializadas, etc.), Phyton, sistemas operativos (Microsoft y/o Linux) o Djanjo o React o Docker o Kubernetes o GIT.
Conocimiento de ofimática: procesador de textos, hoja de cálculo y programas de presentaciones a nivel básico.
Conocimiento de idioma inglés a nivel básico.
Un (1) año de experiencia general.
Proactividad, organización, pericia en su campo ocupacional, trabajo en equipo e integridad.",Chorrillos,Presencial
ANALISTA PROGRAMADOR VB6,"Somos Real Systems, tenemos 30 años de experiencia en el negocio de software empresarial y consultoría. Hemos implementado exitosamente soluciones en empresas de todos los sectores y giros de negocio. Contamos con un sistema de gestión de calidad basado en ISO 9001. Ofrecemos las soluciones de software para empresas, de acuerdo a la normativa y realidad nacional, con visión global.
Nos encontramos en búsqueda de un ANALISTA PROGRAMADOR VB6.
MISIÓN DEL PUESTO:
Diseñar, codificar y mejorar los modelos de software que satisfagan las necesidades de la empresa y los clientes.
REQUISITOS:
Técnico Titulado - Bachiller Universitario de Ing. de Sistemas, Ing. Software o afines.
DOMINIO LENGUAJES DE PROGRAMACIÓN (3 AÑOS MINIMO) VB6, .NET.
EXPERIENCIA EN SOFTWARES CONTABILIDAD, PLANILLAS, ACTIVOS FIJOS (DESEABLE).
FUNCIONES:
Analizar problemas de software y proponer una solución.
Codificar programas, preparar formularios, base de datos y otros elementos del software, de acuerdo al caso de uso.
Cumplir con el plan de trabajo entregado por el superior inmediato para cada proyecto.
Cumplir con los estándares de programación establecidos por la organización.
Documentar los programas que se realizan o modifican.
Entregar querys, código fuente e instaladores para generar betas o instaladores.
Mantenerse actualizado en novedades tecnológicas.
Participar en la puesta en marcha del software en el cliente.
Participar en la reunión de transferencia de caso de uso.",San Isidro,Presencial
Analista Programador Postgre/Oracle/Híbrido,"Por encargo de nuestro cliente, importante empresa líder en finanzas, nos encontramos encuentra en búsqueda de:
(1) Analista Programador Postgre/Oracle
Requisitos
Universitario de Ingeniería de Sistemas, Informática, o afines
Experiencia de 3 años en puestos similares como mínimo
Experiencia realizando labores de Analista de Sistemas
Desarrollador Oracle (PL/SQL) nivel avanzado, store procedures, funciones, packages
Desarrollador BD PostgreSQL nivel avanzado
Experiencia realizando tuning de Base de Datos
Conocimiento en Oracle Data Integrator (ODI)
Experiencia en GCP, Cloud Composer, Cloud Storage, Cloud Functions, Data Funciton, Data low
Modelamiento de Base de Datos
Recomendable que haya realizado labores como Analista Fullstack
Funciones:
Diseñar, analizar y desarrollar soluciones en la Base de Datos
Realizar la documentación correspondiente al proyecto
Realizar estimaciones del trabajo solicitado
Hacer las correcciones y/o mejoras de los programas realizados
Coordinar el pase a producción
Dar soporte post-producción de la solución
¿Qué ofrecemos?
Ingreso a planilla GENERAL de la empresa.
Remuneración acorde al mercado
Trabajo Híbrido: 1 vez a la semana (jueves) asistir a las oficinas del cliente en San Borja.
Horario: Lunes a viernes de 8:30am a 6:30pm
El cliente brindará laptop.",San Borja,Híbrido
ANALISTA PROGRAMADOR SENIOR,"En ADEX, Gremio Empresarial Líder en las Exportaciones Peruanas nos encontramos en la búsqueda de un Analista Programador Senior:
Objetivo:
Analizar la necesidad de negocio e implementar nuevos sistemas de información, utilizando lenguajes de programación de los sistemas implementados en la organización o tecnologías de información a la vanguardia.
Funciones:
Analizar los procesos y requerimientos de las áreas para identificar problemáticas que se puedan presentar.
Desarrolla aplicaciones bajo estándares de calidad y cumplimiento de metodología de desarrollo vigente.
Elaborar manuales a manera de instructivos de los softwares implementados.
Capacitar a los usuarios finales que usarán los softwares, sobre información y uso de los mismos.
Brindar soporte a los sistemas de información implementados.
Potenciar y mejorar los softwares, analizándolos previamente y coordinando con los usuarios finales.
Documentar la información generada al momento de la creación de los sistemas de información.
Analizar, proponer e implementar mejoras en cada uno de los procesos a cargo.
Otras labores inherentes que le encargue su jefe inmediato.
Requisitos:
Técnico o profesional de Ingeniería de Sistemas, Ingeniería Informática o afines, con especialización en desarrollo de sistemas.
Experiencia de 2 a 3 años en análisis funcional o técnico de sistemas y participación en proyectos de integración, mejora continua o desarrollo de soluciones tecnológicas.
Conocimiento avanzado en lenguaje de programación (C #; NET o PHP) y motores de base de datos (SQL, SERVER o MySQL).
Conocimiento a nivel intermedio en desarrollo de apps (Android).
Contar con conocimiento en análisis funcional, análisis de procesos y gestión de proyectos y estándares de programación.
Nivel de ingles (Técnico).
Disponibilidad para trabajar de lunes a viernes en el distrito de San Borja.
Ofrecemos:
Salario acorde al mercado.
EPS al 100%.
Cuponeras de medio día libre.
Día libre por cumpleaños.
Beca por permanencia en carreras, diplomados o cursos en ADEX Instituto o Adex Global Learning.",San Borja,Híbrido
Mid Node AWS Engineer,"Información Importante
Ubicación: Perú
Modalidad de trabajo: Híbrido, asistencia a oficina en Miraflores 2-3 veces por semana
Resumen del puesto
Como un Mid Node AWS Developer (17274), formarás parte de un equipo tecnológico y ágil altamente calificado por respaldar y desarrollar soluciones de vanguardia para cumplir con los requisitos de nuestro negocio. Nos ayudará a acelerar los resultados empresariales de nuestros clientes mediante la innovación de productos digitales de vanguardia.
Requisitos y Habilidades
Profesionales de Sistemas, Informática, Desarrollo o afines con +4 años de experiencia como Node Developer.
Experiencia trabajando en/con:
Desarrollo Servicios Core AWS (EC2, S3, IAM, VPC, Cloudwatch, etc)
Desarrollo Servicios AWS Serverless: Dynamo DB, Lambda, API Gateway, RDS, SQS, stepFunctions, ECS
Herramientas DevOps: SonarQube, GIT(bitbucket)
Microservicios con Docker/Kubernetes
Principios SOLID y patrones de diseño
Pruebas unitarias
Jira y metodologías ágiles
Acerca de Encora
Encora es el socio preferido de ingeniería digital y modernización de algunas de las principales empresas del mundo y empresas nativas digitales. Con más de 9,000 expertos en 47+ oficinas y laboratorios de innovación en todo el mundo, las prácticas tecnológicas de Encora incluyen Ingeniería y Desarrollo de Productos, Servicios en la Nube, Ingeniería de Calidad, DevSecOps, Datos y Análisis, Experiencia Digital, Ciberseguridad e Ingeniería de IA y LLM.
En Encora, contratamos profesionales únicamente en función de sus habilidades y calificaciones, y no discriminamos en función de la edad, discapacidad, religión, género, orientación sexual, estado socioeconómico o nacionalidad.",Miraflores,Híbrido
Programador Frontend Senior,"Vive la experiencia SONDA
¡Aquí transformas tu carrera!
¿Por qué ser parte de SONDA?
Porque al igual que tú, amamos lo que hacemos, tenemos pasión por la innovación y estamos convencidos de que a través del conocimiento y de la tecnología no solo vamos a transformar los negocios de nuestros clientes, sino también el futuro.
En SONDA vivirás una experiencia de trabajo con diversas oportunidades de desarrollo personal y profesional. Un excelente lugar para aprender y contribuir a mejorar la calidad de vida de las personas por medio de la tecnología.
Buscamos a un/a Desarrollador Frontend Senior que quiera aprender y transformar su carrera, con el siguiente perfil:
Lo que harás:
Participarás en el desarrollo de aplicaciones Frontend de alto impacto.
Colaborarás en arquitecturas basadas en microservicios y tecnologías modernas.
Formarás parte de un equipo multidisciplinario que impulsa la transformación digital.
Lo que buscamos en ti:
Titulado en Ingeniería de Sistemas, Informática o carreras afines; o técnico titulado en Informática o Sistemas o Computación o carreras afines a las Tecnologías de la Información.
Egresado o Titulado de maestría relacionado a tecnologías de la información.
Experiencia comprobada de 7 años como Desarrollador Frontend y desarrollo de software.
Experiencia con microservicios.
Curso o Taller en HTML5 O Java con Sprint o Hybernete o curso de Angular.
¿Qué puedes esperar de nosotros?
Desarrollo profesional y evolución constante de tus habilidades, siempre según tus intereses.
Un ambiente colaborativo, diverso e innovador, que fomenta el trabajo en equipo.
¿Qué ofrecemos?
SONDA Academy, una plataforma educativa de aprendizaje constante que busca potenciar al máximo tu desarrollo profesional.
SONDA Wellness, un programa que busca apoyarte en el balance de tu vida personal y profesional, promoviendo una serie de iniciativas enfocadas en tu salud física, mental y social.
EPS al 100%
Utilidades
Bono de alimentación
¡Y mucho más!
Diversidad +Inclusión = Innovación y colaboración
En SONDA estamos comprometidos con la diversidad. Fomentamos un ambiente inclusivo que garantice que los talentos puedan trabajar en un entorno positivo que los invite a desarrollar su carrera profesional en igualdad de oportunidades.
Porque sabemos que un ambiente diverso es un elemento fundamental para impulsar la innovación, buscamos candidatos en función de su cualificación profesional, independientemente de su raza, color de piel, religión, edad, sexo, orientación sexual, identidad de género, nacionalidad o discapacidad.
¡Sé parte de nuestro equipo!",Lima,Remoto
Backend Developer Senior - CULQI,"¡Nos encontramos en búsqueda de un BACKEND DEVELOPER SENIOR para el equipo Culqi!
Culqi es una fintech líder que pertenece al grupo Credicorp, que está revolucionando los pagos digitales en Latinoamérica con soluciones tecnológicas innovadoras y seguras.
Misión del puesto: El Developer Backend Senior es responsable de desarrollar y optimizar soluciones escalables y seguras en Node.js, aprovechando AWS y arquitecturas orientadas a eventos para garantizar sistemas eficientes y resilientes. Su misión es construir y mantener servicios robustos, gestionar la comunicación asincrónica mediante eventos, implementar buenas prácticas de seguridad y optimización.
¿Qué esperamos de ti?
Desarrollo y mantenimiento de las aplicaciones integradas a bases de datos SQL y no SQL,
Desarrolar APIs REST eficientes.
Aplicar buenas prácticas de desarrollo y código limpio asi como principios SOLID y patrones de diseño.
Implementar flujos de comunicación síncrona y asíncrona eficientes y resilientes.
Desplegar las funcionalidades programadas sobre el servicio de EKS en AWS
Realizar estimaciones de tareas que se le asignen.
Realizar integraciones en los repositorios de código con los otros miembros del equipo.
Escribir pruebas unitarias sobre Jest.
Documentación de APIs y procesos clave.
¿Qué buscamos?
Técnico concluido o Universitario concluido en carreras como Ingenieria de Sistemas, Ingenieria de Software o afines.
5 a 7 años de experiencia como Backend
Experiencia en el sector financiero o medios de pago (deseable)
Seniority Senior en programación en JavaScript con Typescript
Seniority Senior en programación con Nodejs
Seniority Senior en servicios AWS (Lambda, API Gateway, EKS, S3, EventBridge, Redis, SQS, Cognito)
Experiencia en contenedores Docker y Kubernetes.
Experiencia en CI/CD con Gitlab
Experiencia y conocimientos sólidos en Servicios API Rest
Experiencia con bases de datos PostgreSQL y DynamoDB
Experiencia escribiendo pruebas unitarias sobre Jest
Conocimiento en patrones, principios y buenas prácticas de desarrollo
¿Qué beneficios disfrutarás?
Ingreso a Planilla Culqi.
Pago de Bonos por Desempeño (Hasta 4 sueldos)
Oportunidades de desarrollo
EPS 100%
Contrato indeterminado
Si estás listo para unirte al equipo que innova y crea soluciones, ¡postula con nosotros!
“Somos una organización comprometida con la igualdad de derechos y oportunidades. Nuestros procesos de selección se rigen bajo una política donde nuestras/os postulantes son consideradas/os sin importar su origen, género, raza o cualquier otra característica, condición o preferencia, promoviendo así una cultura de respeto mutuo”",San Isidro,Híbrido
